h_id;agrupamento;assertividade;fonte;id_estudante;id_fonte;id_questionario;método
639536890dedcfcbae159b5b;False;0,26666666666666666;null;25;26;2;casos
6395368a0dedcfcbae159b5c;False;0,5275361212861214;3;25;Média;2;casos
639537fe0dedcfcbae159bc7;False;0,4666666666666667;1;3;EF1;2;entradas
639537fe0dedcfcbae159bc8;False;1;2;3;EV1;2;entradas
639537fe0dedcfcbae159bc9;False;0,75;2;3;EV2;2;entradas
639537fe0dedcfcbae159bca;False;0,7388888888888889;3;3;Média;2;entradas
639538040dedcfcbae159bcf;False;0,45098039215686275;1;5;EF1;2;entradas
639538040dedcfcbae159bd0;False;1;2;5;EV1;2;entradas
639538040dedcfcbae159bd1;False;0,782608695652174;2;5;EV2;2;entradas
639538040dedcfcbae159bd2;False;0,7445296959363455;3;5;Média;2;entradas
639538090dedcfcbae159bd7;False;0,25882352941176473;1;4;EF1;2;entradas
639538090dedcfcbae159bd8;False;0,9473684210526315;2;4;EV1;2;entradas
639538090dedcfcbae159bd9;False;0,42857142857142855;2;4;EV2;2;entradas
639538090dedcfcbae159bda;False;0,544921126345275;3;4;Média;2;entradas
6395380e0dedcfcbae159bdf;False;0,3157894736842105;1;6;EF1;2;entradas
6395380e0dedcfcbae159be0;False;0,8571428571428571;2;6;EV1;2;entradas
6395380e0dedcfcbae159be1;False;0,8571428571428571;2;6;EV2;2;entradas
6395380e0dedcfcbae159be2;False;0,6766917293233082;3;6;Média;2;entradas
639538150dedcfcbae159be7;False;0,43902439024390244;1;7;EF1;2;entradas
639538150dedcfcbae159be8;False;0,9473684210526315;2;7;EV1;2;entradas
639538150dedcfcbae159be9;False;0,8260869565217391;2;7;EV2;2;entradas
639538150dedcfcbae159bea;False;0,7374932559394244;3;7;Média;2;entradas
6395381b0dedcfcbae159bef;False;0,5806451612903226;1;9;EF1;2;entradas
